,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
316,"Deen Dayal PG College, Muzaffarnagar",Muzaffarnagar,Uttar Pradesh,BBA,3 years,Full time,,UG,,UGC,Students must have passed 10+2 or equivalent examination from any recognized board with at least 45% marks.,"Bachelor of Business Administration (BBA) is a three-year degree course affiliated to Ch. Charan Singh University, Meerut. The course is meant to educate and train students about the principals of Business administration and management of multiple sectors like : IT, HR, Marketing, Taxation, Finance, International Trade etc."
317,"RK College, Kithore",Kithore,Uttar Pradesh,BBA,3 years,Full time,,UG,,UGC,Candidate must have passed 10+2 from recognized board,Bachelor of Business Administration is full-time three-year course
318,"MS Institute, Bulandshahr",Bulandshahar,Uttar Pradesh,BBA,3 years,Full time,120,UG,,UGC,Candidate must have passed 10+2 from recognized board,Bachelor of Business Administration is full-time three-year undergraduate degree course
319,"Janhit Degree College, Saharanpur",Chhutmalpur,Uttar Pradesh,BBA,3 years,Full time,120,UG,,UGC,Candidate must have passed 10+2 with minimum 45% marks,Bachelor of Business Administration is full-time three-year undergraduate degree course
320,"Harkesh Singh Rana Mahavidyalaya, Saharanpur",Behat,Uttar Pradesh,BBA,3 years,Full time,180,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"Bachelor of Business Administration In Duration 3 Years Full Time Course Offered By Chaudhary Charan Singh University,Meerut."
321,"Modern Degree College, Ghaziabad",Ghaziabad,Uttar Pradesh,BBA,3 years,Full time,60,UG,,,10+2 level examination or any other equivalent examination of CBSE OR ICSE or any other recognized board. (Minimum 45%).,"Bachelor of Business Administration is a 3 years course Affiliated to Chaudhary Charan Singh University, Meerut."
322,"Brahmanand Mahavidyalaya, Bulandshahr",Bulandshahr,Uttar Pradesh,BBA,3 years,Full time,,UG,0.659 lakhs,,The candidate must have passed 10+2 examination or equivalent from any recognized Board/University securing minimum 50% (GEN) and 45% (SC/ST) marks in aggregate in any stream. The candidate is required to pass without any grace in the each of the subject of the subject group.,"It is 3-year duration full-time course affiliated to Chaudhary Charan Singh University, Meerut."
323,"Shiv Mandir Chhuttan Lal Kaka Girls PG and B Ed College, Sikandrabad",Sikandrabad,Uttar Pradesh,BBA,3 years,Full time,60,UG,,UGC,The candidate must have passed 10+2 examination or equivalent.,"It is 3-year duration full-time course approved by UGC affiliated to Chaudhary Charan Singh University, Meerut."
324,"RV Higher Education and Technical Institute, Greater Noida",Dadri,Uttar Pradesh,BBA,3 years,Full time,60,UG,,UGC,The candidate must have passed Intermediate 50% for Gen/OBC & 45% for SC/ST.,"It is 3-year duration full-time course approved by UGC affiliated to Chaudhary Charan Singh University, Meerut."
325,"Government Girls College, Sehore",Sehore,Madhya Pradesh,BBA,3 years,Full time,30,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Barkatullah University, Bhopal and approved by UGC."
326,"Shaheed Bhagat Singh Government Degree College, Ashta",Ashta,Madhya Pradesh,BBA,3 years,Full time,90,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Barkatullah University, Bhopal and approved by UGC."
327,"Government Arts and Commerce Post Graduate College, Harda",Harda,Madhya Pradesh,BBA Self Financed,3 years,Full time,,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to Barkatullah University, Bhopal."
328,"Mahaveer Institute of Technology, Meerut",Meerut,Uttar Pradesh,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream,BBA is a three year full time course
329,"Mahaveer Institute of Technology, Meerut",Meerut,Uttar Pradesh,MBA,2 years,Full time,120,PG,1.34 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in any graduate degree,MBA is a two year full time course
330,"Presidency College of Education and Technology, Meerut",Meerut,Uttar Pradesh,BBA,3 years,Full time,120,UG,,,The candidate should have passed the intermediate or equivalent examination from any recognized board with minimum 45% marks in aggregate.,"It is 3-year duration full-time course affiliated to Chaudhary Charan Singh University, Meerut."
331,"Hari Institute of Technology, Saharanpur",Randevi,Uttar Pradesh,BBA,3 years,Full time,60,UG,,,Direct admission with minimum 45% in 10+2 in any stream.,"It is 3-year duration full-time course affiliated to Chaudhary Charan Singh University, Meerut."
332,"Sharda Devi Degree College, Jhansi",Jhansi,Uttar Pradesh,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
333,"Shaheed Bhagat Singh Shikshan Sansthan, Kanpur",Bithoor,Uttar Pradesh,BBA,3 years,Full time,,UG,,UGC,Candidate must have passed 10+2 from recognized board,Bachelor of Business Administration is full-time three-year course
334,"Sacred Heart Degree College, Sitapur",Sitapur,Uttar Pradesh,BBA,3 years,Full time,60,UG,,UGC,12th Pass from any recognized board or equivalent.,"It is 3 year full time course with affiliation of Chhatrapati Shahu Ji Maharaj University, Kanpur and approved by UGC."
335,"Maulana Azad institute of Humanities Science and Technology, Sitapur",Mahmudabad,Uttar Pradesh,BBA,3 years,Full time,,UG,,UGC,12th Pass from any recognized board or equivalent.,It is 3 year full time course with affiliation of Chhatrapati Shahu Ji Maharaj University Kanpur and approved by UGC.
336,"Atibal Singh PG College, Allahabad",Meja Khas,Uttar Pradesh,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
337,"Royal Prudence Degree College, Lakhimpur Kheri",Lakhimpur,Uttar Pradesh,BBA,3 years,Full time,60,UG,,,10+2 from any Recognized Board with relevant subjects.,This is a Three years (Six Semesters) Professional Graduate course in Business Administration.
338,"Usmani Degree College, Lakhimpur Kheri",Lakhimpur,Uttar Pradesh,BBA,3 years,Full time,,UG,,UGC,10+2 from any Recognized Board with relevant subjects.,It is a three year full time course.
339,"Shri Aatm Vallabh Jain Girls College, Sri Ganganagar",Sri Ganganagar,Rajasthan,BBA,3 years,Full time,40,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Business Administration is a three-year full-time UG course offered by Maharaja Ganga Singh University, Bikaner and Approved by UGC.
Bachelor of Business Administration (BBA) is a very Popular Course among the Career Conscious people who wish to make a very successful career.The main objective of this career course is to equip the young people with all t...See More"
340,"Shri Aatm Vallabh Jain Girls College, Sri Ganganagar",Sri Ganganagar,Rajasthan,MBA,2 years,Full time,120,PG,1.11 lakhs,(AICTE) All India Council of Technical Education,Graduation (10+2+3 years duration) in any subject from any recognized university with at least 50% marks in aggregate (45% in case of SC/ ST and OBC candidates),"This is a two-year full-time programme leading to a Master of Business Administration from the Anna University, Chennai
Despite numerous course with fancy titles that hit the academic world every year, MBA remains the most preferred course among youth, After globalization MBA has become an entry ticket to enter job market. Now students as well as working professional...See More"
341,"Seth Moti Lal PG College, Jhunjhunu",Jhunjhunu,Rajasthan,BBA,3 years,Full time,90,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Business Administration is three years full time course offered By University of Rajasthan, Jaipur and by Approval UGC"
342,"Seth Moti Lal PG College, Jhunjhunu",Jhunjhunu,Rajasthan,M.Com EAFM,2 years,Full time,60,PG,0.12 lakhs,UGC,The candidate should have passed graduate degree with the related subject from any recognized college/ University.,"Master of Commerce in Economic Administration and Financial Management is two years full-time PG course offered by the University of Rajasthan, Jaipur and Approval by UGC."
343,"AV Abdurahman Haji Arts and Science College, Kozhikode",Mankara,Kerala,B.Com Finance,3 years,Full time,24,UG,0.602 lakhs,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"It is 3-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
344,"AV Abdurahman Haji Arts and Science College, Kozhikode",Mankara,Kerala,BBA,3 years,Full time,24,UG,0.602 lakhs,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"It is 3-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
345,"MET Arts and Science College, Nadapuram",Calicut,Kerala,BBA,3 years,Full time,30,UG,,,The candidate should have passed Plus Two Science/VHSC Science.,"It is 3-year duration full-time course affiliated to University of Calicut, Malappuram."
346,"Baba Mohan Ram Kissan PG College, Alwar",Bhiwadi,Rajasthan,BBA,3 years,Full time,,UG,,,The candidate should have passed 10+2 level with related combination.,"Bachelor of Business Administration is three years full time course and affiliated to University of Rajasthan, Jaipur"
347,"MHES College of Science Technology, Kozhikode",Kozhikode,Kerala,B.Com Finance,3 years,Full time,60,UG,,National Council for Vocational Training,"The candidate should have passed 12th class exam under 10+2 system. With Physics, Chemistry and Biology.","It is 3-year duration full-time course affiliated to University of Calicut, Malappuram."
348,"MHES College of Science Technology, Kozhikode",Kozhikode,Kerala,BBA Finance,3 years,Full time,50,UG,,National Council for Vocational Training,"The candidate should have passed 12th class exam under 10+2 system. With Physics, Chemistry and Biology.","It is 3-year duration full-time course affiliated to University of Calicut, Malappuram."
349,"National College of Arts and Science, Nadapuram",Chekkiad,Kerala,BBA,3 years,Full time,30,UG,,,Candidates Passed Higher Secondary/ VHSE in any discipline are eligible for admission.,"It is 3-year duration full-time course affiliated to University of Calicut, Malappuram."
350,"National College of Arts and Science, Nadapuram",Chekkiad,Kerala,M.Com Financial Management,2 years,Full time,10,PG,,,The candidate should have graduation degree from any recognized university.,"It is 2-year duration full-time course affiliated to University of Calicut, Malappuram."
351,"Markaz College of Arts and Science, Karanthur",Karanthur,Kerala,BBA,3 years,Full time,30,UG,0.6 lakhs,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"It is 3-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
352,"Malabar College of Arts and Science, Calicut",Nenmeni,Kerala,BBA,3 years,Full time,,UG,,UGC,The candidate should have passed 10+2 or its equivalent with Mathematics as one of the subject.,"It is 3-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
353,"Pookoya Thangal Memorial Government College, Perinthalmanna",Perinthalmanna,Kerala,BBA,3 years,Full time,40,UG,,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"It is 3-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
354,"Dr Gafoor Memorial MES Mampad College, Malappuram",Malappuram,Kerala,BBA,3 years,Full time,,UG,0.032 lakhs,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"It is 3-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
355,"MES Ponnani College, Malappuram",Ponnani,Kerala,B.Com Finance,3 years,Full time,60,UG,,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"It is 3-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
356,"MES Ponnani College, Malappuram",Ponnani,Kerala,BBA,3 years,Full time,30,UG,,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"BBA is three-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
357,"Marthoma College, Chungathara",Edakkara,Kerala,BBA Self Finance,3 years,Full time,30,UG,0.655 lakhs,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"It is 3-year duration full-time course approved by UGC and affiliated to University of Calicut, Malappuram."
358,"Don Bosco College, Wayanad",Sultan Bathery,Kerala,B.Com Finance,3 years,Full time,40,UG,0.97 lakhs,UGC,Candidate must have passed 10+2 in related subjects from recognized university,This is full-time three-year undergraduate degree course
359,"Don Bosco College, Wayanad",Sultan Bathery,Kerala,BBA,3 years,Full time,40,UG,0.97 lakhs,UGC,Candidate must have passed 10+2 from recognized university,This is full-time three-year undergraduate degree course
360,"Don Bosco College, Wayanad",Sultan Bathery,Kerala,M.Com Finance,2 years,Full time,20,PG,0.88 lakhs,UGC,Candidate must have passed related bachelor degree from recognized university,This is full-time two-year post graduate degree course
361,"Grace Valley College of Arts and Science, Malappuram",Malappuram,Kerala,BBA,3 years,Full time,40,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
362,"Farook Arts and Science College, Kottakkal",Malappuram,Kerala,B.Com Finance,3 years,Full time,50,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
363,"Farook Arts and Science College, Kottakkal",Malappuram,Kerala,BBA,3 years,Full time,50,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
364,"Farook Arts and Science College, Kottakkal",Malappuram,Kerala,M.Com Finance,2 years,Full time,20,PG,,UGC,Candidate must have passed related bachelor degree from recognized university,This is full-time three-year undergraduate degree course
365,"St Mary's College, Malappuram",Puthanangadi,Kerala,B.Com Finance,3 years,Full time,40,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
366,"St Mary's College, Malappuram",Puthanangadi,Kerala,BBA,3 years,Full time,50,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
367,"Blossom Arts and Science College, Malappuram",Malappuram,Kerala,B.Com Finance,3 years,Full time,60,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
368,"Blossom Arts and Science College, Malappuram",Malappuram,Kerala,BBA,3 years,Full time,50,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
369,"Priyadarshini Arts and Science College, Malappuram",Malappuram,Kerala,B.Com Finance,3 years,Full time,60,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
370,"Priyadarshini Arts and Science College, Malappuram",Malappuram,Kerala,BBA,3 years,Full time,40,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,This is full-time three-year undergraduate degree course
371,"Priyadarshini Arts and Science College, Malappuram",Malappuram,Kerala,M.Com Finance,2 years,Full time,20,PG,,UGC,Candidate must have passed related bachelor degree from recognized university,M.Com Finance is full-time two-year post graduate degree course
372,"CPA College of Arts and Science, Malappuram",Kurumbathur,Kerala,BBA,3 years,Full time,30,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board with minimum 50% marks,Bachelor of Business Administration is full-time three-year undergraduate degree course
373,"Nasra College of Arts and Science, Malappuram",Angadipuram,Kerala,B.Com Finance,3 years,Full time,50,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,B.Com Finance is full-time three-year undergraduate degree course
374,"Nasra College of Arts and Science, Malappuram",Angadipuram,Kerala,BBA,3 years,Full time,40,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,Bachelor of Business Administration is full-time three-year undergraduate degree course
375,"Nasra College of Arts and Science, Malappuram",Angadipuram,Kerala,M.Com Finance,2 years,Full time,15,PG,,UGC,Candidate must have passed related bachelor degree from recognized university,M.Com Finance is full-time two-year post graduate degree course
376,"Sahya Arts and Science College, Vellamburam",Malappuram,Kerala,B.Com Finance,3 years,Full time,30,UG,0.57 lakhs,UGC,Candidate must have passed 10+2 in related stream from recognized board,B.Com Finance is full-time three-year undergraduate degree course
377,"Sahya Arts and Science College, Vellamburam",Malappuram,Kerala,BBA Human Resource Management,3 years,Full time,30,UG,0.57 lakhs,UGC,Candidate must have passed 10+2 in related stream from recognized board,BBA Human Resource Management is full-time three-year course
378,"Sahya Arts and Science College, Vellamburam",Malappuram,Kerala,M.Com Finance,2 years,Full time,20,PG,0.79 lakhs,UGC,Candidate must have passed related bachelor degree from recognized university,M.Com Finance is full-time two-year post graduate degree course
379,"Malabar College of Advanced Studies, Malappuram",Malappuram,Kerala,BBA,3 years,Full time,30,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,Bachelor of Business Administration is full-time three-year undergraduate degree course
380,"EKC of Commerce and Sciences, Malappuram",Manjeri,Kerala,B.Com Finance,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 commerce stream.,B.Com Finance is a 3 year full time course.
381,"EKC of Commerce and Sciences, Malappuram",Manjeri,Kerala,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
382,"EKC of Commerce and Sciences, Malappuram",Manjeri,Kerala,M.Com Finance,2 years,Full time,,PG,,UGC,The candidate should have passed in B.Com Finance,M.Com Finance is a 2 year full time course.
383,"JM College of Arts and Science, Malappuram",Malappuram,Kerala,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
384,"Fathima Arts and Science College, Malappuram",Edakkara,Kerala,BBA,3 years,Full time,30,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
385,"MES Kalladi College, Palakkad",Palakkad,Kerala,BBA,3 years,Full time,40,UG,,,The candidate should have passed in 10+2 any stream.,"BBA is a 3 year full time course in Managerial Economics
IT for Business Management
Qualitative Techniques for Business
Management Science "
386,"VV College of Science and Technology, Palakkad",Kanjikode,Kerala,B.Com Finance,3 years,Full time,40,UG,,UGC,The candidate should have passed in 10+2 commerce stream,B.Com Finance is a three year full time course
387,"VV College of Science and Technology, Palakkad",Kanjikode,Kerala,BBA,3 years,Full time,38,UG,,,The candidate should have passed in 10+2 any stream,BBA is a three year full time course
388,"VV College of Science and Technology, Palakkad",Kanjikode,Kerala,M.Com Finance,2 years,Full time,20,PG,,UGC,The candidate should have passed in B.Com,M.Com Finance is a two year full time course
389,"Thunchath Ezhuthachan College, Palakkad",Nenmara,Kerala,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
390,"Mount Seena College of Arts and Science, Palakkad",Palakkad,Kerala,BBA Finance Management,3 years,Full time,30,UG,,,The candidate should have passed in 10+2 any stream.,BBA in Finance Management is a three-year full time course.
391,"Cherpulassery College of Science and Technology, Palakkad",Palakkad,Kerala,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
392,"Cherpulassery College of Science and Technology, Palakkad",Palakkad,Kerala,M.Com Finance,2 years,Full time,,PG,,UGC,The candidate should have passed in B. Com Finance,M. Com Finance is a 2 year full time course.
393,"Najath Arts and Science College, Palakkad",Mannarkkad,Kerala,BBA,3 years,Full time,50,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
