,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
48,"SRM University, Delhi-NCR, Sonepat",Sonipat,Haryana,BA LLB Hons Integrated,5 years,Full time,120,UG,6.25 lakhs,(BCI) Bar Council of India,"Candidates must have passed 12th Standard or an equivalent examination, recognized by State or Central Education Board and must have obtained 50% marks in aggregate. ","Bachelor of Arts + Bachelor of Laws (BA LLB) is five-years (10 Semesters) full-time Integrated programme in Law offered by SRM University, Sonipat with the approval of Bar Council of India."
49,"SRM University, Delhi-NCR, Sonepat",Sonipat,Haryana,LLB,3 years,Full time,120,UG,3.75 lakhs,(BCI) Bar Council of India,Candidates must have passed graduation or an equivalent examination in any discipline from a UGC recognized University with 50% marks in aggregate.,"Bachelor of Laws (LLB) is three-years (6 Semesters) full-time program offered by SRM University, Sonipat and approved by Bar Council of India."
50,"SRM University, Delhi-NCR, Sonepat",Sonipat,Haryana,LLM,1 year,Full time,,PG,1 lakh,UGC,A candidate should have passed the LL.B. or an equivalent degree from a recognised University," LLM is a full-time one years duration course offered by SRM University, Sonipat Approved by UGC.LL.M. Programme is being offered in the following areas :International Business Transactions and Trade LawLaw of Development and EnvironmentCorporate and Banking LawCriminal and Security Law"
51,"University of Madras, Chennai",Chennai,Tamil Nadu,MA Criminology and Criminal Justice Administration,2 years,Full time,,PG,0.089 lakhs,UGC,B.A/B.Sc./B.Com./B.L.,"Master of Arts in Criminology and Criminal Justice Administration is full time two year course degree offered by University of Madras, Chennai and approved by UGC."
52,"University of Madras, Chennai",Chennai,Tamil Nadu,ML Constitutional Law and Legal Order,2 years,Full time,,PG,0.088 lakhs,UGC,A candidate should have passed the LL.B. or an equivalent degree from a recognised University,"ML Constitutional Law and Legal Order is a full-time two years duration course offered by University of Madras, Chennai Approved by UGC."
53,"Pondicherry University, Puducherry",Kalapet,Puducherry,LLM International Commercial Laws,1 year,Full time,20,PG,,UGC,B.L/LL.B. Degree or its equivalent with not less than 50% of marks(45% in case of SC/ ST) in the aggregate in all the 3 years/ 5years of B.L/ L.L.B Degree Course.,"LLM is a full time one-year duration course offered by Pondicherry University, Puducherry and approved by UGC"
54,"Vivekananda Global University, Jaipur",Jaipur,Rajasthan,BA LLB,5 years,Full time,,UG,3.01 lakhs,UGC,"Pass in 10+2, A level, IB, American 12th grade or equivalent with a minimum aggregate of 50% from a recognized board. The admissions will be done strictly on the basis of rank obtained in CLAT/LSAT or XIIth marks for all those candidates who have filled the online form of VGU before 15th July.",
55,"Vivekananda Global University, Jaipur",Jaipur,Rajasthan,LLB,3 years,Full time,,UG,1.05 lakhs,(BCI) Bar Council of India,"Pass in a 3 year, 10+2+3 undergraduate programme or equivalent from a recognized university with a minimum aggregate of 45%.","LLB is a full-time three years duration course offered by Vivekananda Global University, Jaipur Approved by Bar Counci"
56,"National University of Advanced Legal Studies, Kochi",Ernakulam,Kerala,BA LLB Hons,5 years,Full time,60,UG,7.39 lakhs,(BCI) Bar Council of India,"The candidate for CLAT shall have passed the Higher Secondary Certificate examination (10+2) or an examination recognized as equivalent thereto with at least 45 % marks.
Exemption upto 5% from the requirement of the minimum of 45% for the qualifying examination is given to the candidates belonging to Scheduled Caste/Scheduled Tribe (SC/ST) [declared eligible for reservation in the State of Kerala] and upto 3% to the candidates belonging to Socially and Educationally Backward Classes [declared eligible for reservation in the State of Kerala]. These categories are allowed to apply for CLAT if they obtain not less than 40 % and 42 % of marks, respectively, in the qualifying examination.
The candidate shall not have completed 20 years of age as on July 1, 2017. However, candidates belonging to Scheduled Caste/Scheduled Tribe, Other Backward Classes (declared eligible for reservation in the State of Kerala) and Specially Abled Persons (SAP) shall not have completed 22 years of age as on July 1, 2017.	d) Students who are appearing for the qualifying examination are allowed to appear for CLAT. However, they should submit the results of the qualifying examination at the time of admission. If they do not do so, the candidates shall be considered ineligible.","NUALS offers a Five Year B.A. LL.B. (Hons.) Degree Programme. From the 2009 Admissions the course is offered under the Choice Based Credit & Semester System. The Five Year Programme is divided into Ten Semesters i.e., there are two semesters in each academic year. As part of its B.A. LL.B. (Hons.) Degree Programme the University offers courses on frontier areas of law...See More"
57,"National University of Advanced Legal Studies, Kochi",Ernakulam,Kerala,LLM,1 year,Full time,40,PG,1.3 lakhs,(BCI) Bar Council of India,A candidate shall have passed the 5 year Integrated B. A. LL.B. (Hons.) Degree of the National University of Advanced Legal Studies (NUALS) or an examination recognised as equivalent thereto with a minimum of 55 % of the total marks in the aggregate [Not less than 50% in the case of SC/ST (declared eligible for reservation in the State of Kerala) candidates.,The LL.M. Degree Programme of NUALS is a full time regular course of One year duration in the credit and semester system consisting of two semesters. A student who is admitted to the LL.M. Degree Programme can opt to pursue the Programme under any one of the subject groups offered by the University in that year. The two subject groups that are presently offered by the...See More
