,place_id,sublocality_level_1,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,sublocality_level_2,route,point_of_interest,street_number,neighborhood,premise,subpremise,sublocality_level_3,postal_town,natural_feature,floor,administrative_area_level_3,postal_code_suffix,post_box,political,administrative_area_level_4
1959,ChIJAQAAAG1FLDoR6_lzjQMxS30,,Gadchiroli,Gadchiroli,Maharashtra,India,442606,,,,,,,,,,,,,,,,
1960,ChIJ71eNvNfA5zsROchDv7c8630,,Navi Mumbai,Thane,Maharashtra,India,400709,Sector 15,,,,Kopar Khairane,,,,,,,,,,,
1961,ChIJJ4e9r7FM0zsRDT4kIbNOxYQ,,Chimur,Chandrapur,Maharashtra,India,442903,,,,,,,,,,,,,,,,
1962,ChIJ_VMJw4291DsRwkAv2HiTsI4,,Nagpur,Nagpur,Maharashtra,India,441122,,,,,,,,,,,,,,,,
1963,ChIJq6qqalvH1DsRHfwhJcTxGHc,Nandanvan,Nagpur,Nagpur,Maharashtra,India,440009,,,,,Hasanbag,,,,,,,,,,,
1964,ChIJEaQsQU-V1DsRfZy0BS3L1E8,,Nagpur,Nagpur,Maharashtra,India,440016,,,,,,,,,,,,,,,,
1965,ChIJRSYf-Wl11DsR_3eb0-UVJmo,Mira Colony,Pulgaon,Wardha,Maharashtra,India,442302,,Nachangaon Road,,,,,,,,,,,,,,
1966,ChIJJc1Pu2mA0zsRcQB2v1eKk78,,Selukate,Wardha,Maharashtra,India,442001,,,,,,,,,,,,,,,,
1967,ChIJB6jECOu41DsR9fM54NNSHCA,Dighori,Nagpur,Nagpur,Maharashtra,India,440034,,,,,,,,,,,,,,,,
1968,ChIJQcdsRlA5KzoRFCbqMFXUnDs,,Mohadi,Bhandara,Maharashtra,India,441104,,,,,,,,,,,,,,,,
1969,ChIJTzVgLYHA1DsRk38m7ezPJ5c,Laxminagar,Nagpur,Nagpur,Maharashtra,India,440012,,South Ambazari Road,,,Opposite Diksha Bhoomi,,,,,,,,,,,
1970,ChIJkfBknrSqxDsRyX0pKZHqOZI,,Ashti,Beed,Maharashtra,India,414203,,Maharashtra State Highway 142,,,,,,,,,,,,,,
1971,ChIJi___v5yI1DsRcse1k2BveCk,,Raipur-Hingna,Wardha,Maharashtra,India,441110,,,,,,,,,,,,,,,,
1972,ChIJ4aeGJ9av1DsRctiVLBki1aA,,,Nagpur,Maharashtra,India,441209,,,,,,,,,,,,,,,,
1973,ChIJN4U-28XHLDoRCTD-oPWqYwI,,Navargaon,Chandrapur,Maharashtra,India,441223,,,,,,,,,,,,,,,,
1974,ChIJl4NgoD1_1DsRpBAVQ9qjX-o,Ramnagar,Wardha,Wardha,Maharashtra,India,442001,Bapujiwadi,,,,,,,,,,,,,,,
1975,ChIJj3kdkCPH1DsRrIx3d-15_K0,Shantinagar Colony,Nagpur,Nagpur,Maharashtra,India,440002,,,,,Marwadi Wadi,,,,,,,,,,,
1976,ChIJZZuTVM7A1DsRn8BnLdqf8wo,Hansapuri,Nagpur,Nagpur,Maharashtra,India,440018,,Rasheedia Street,,,,,,,,,,,,,,
1977,ChIJVVVVVdrV0jsR8c0vUPUj86A,Nirman Nagar,Chandrapur,Chandrapur,Maharashtra,India,442401,Sharda Nagar,,,,,,,,,,,,,,,
1978,ChIJWef_hjQPdjkRD8NWmRuqflQ,,Etawah,Etawah,Uttar Pradesh,India,206124,,,,,,,,,,,,,,,,
1979,ChIJq6q6ZNLG1DsRtCHiy0xDE20,,Nagpur,Nagpur,Maharashtra,India,441111,,,,,,,,,,,,,,,,
1980,ChIJCYSPq-vm1DsRZlnWkOCdeQY,,Borujwada,Nagpur,Maharashtra,India,441107,,,,,,,,,,,,,,,,
