,1,6,cid,name
3563,C31838,Janta College Road,C31838,JANTA COLLEGE REWA
3564,C31840,Sindhu Girls College Satna,C31840,SINDHU GIRL COLLEGE SATNA
3565,C31842,Govt. College Jaitawara,C31842,"GOVT.COLLEGE, JAITWARA,SATNA"
3566,C31845,Swargi U P Bahadur Singh College,C31845,SWARGI U P BAHADUR SINGH COLLEGE KOTHI SATNA
3567,C31846,Shri Sai Mahavidyalaya,C31846,"SAI COLLEGE,VINDHYA NAGAR,SINGRAULI"
3568,C31847,"Shriyut Mahavidyalay, Gangeo",C31847,"SHRIYUT COLLEGE GANGAVE,REWA"
3569,C31849,Govt Vivekanand College,C31849,"GOVT.VIVEKANAND COLLEGE, MAIHAR,SATNA"
3570,C31850,D R S B. Ed. College,C31850,D.R.S. COLLEGE REWA
3571,C31852,"Government Tulsi Degree College, Anuppur",C31852,GOVT.TULSHI COLLEGE ANUPPUR
3572,C31853,Shri Rama Krishna College of Commerce & Science,C31853,SHRI R C COMMERCE AND SCINCE  SATNA
3573,C31854,Rewanchal Institute Of Education And Technology,C31854,"REWANCHAL INSTITUT OF TECNOLOGY LALGANWA,REWA"
3574,C31856,"Government Ayurvedic College and Hospital, Rewa",C31856,GOVT. AYURVED COLLEGE.REWA
3575,C31859,Rewa Engineering College,C31859,"REWA COLLEGE OF EDUCATION  RATAHRA, REWA"
3576,C31870,Mahatma Gandhi College,C31870,"MAHATMA GANDHI COMPUTER COLLEGE ,  SATNA"
3577,C31870,Mahatma Gandhi College,C31870,"MAHATMA GANDHI COMPUTER COLLEGE ,  SATNA"
3578,C31871,ML Chaurashiya B Ed College,C31871,M.L. CHAURASHIYA B.ED COLLEGE REWA
3579,C31872,Government College Satna (Indira Girls College),C31872,"GOVT.INDIRA GANDHI GIRLS COLLEGE,SATNA"
3580,C31873,Sanjay Gandhi College,C31873,GOVT.SANJAY GANDHI SMARTI COLLEGE SIDHI
3581,C31874,The College Of Law And Legal Aid Shahdol,C31874,"COLLEGE OF LAW & LEGAL  AID,SHAHDOL"
3582,C31878,Government College,C31878,"GOVT.COLLEGE,GURH,REWA"
3583,C31879,Law College Satna,C31879,LAW COLLEGE SATNA
3584,C31880,Pioneer College Of Education,C31880,"PIONEER COLLEGE OF EDUCATION,MEIDARAS,ANUPPUR"
3585,C31881,Rajiv Gandhi College Waidhan,C31881,"RAJIV GANDHI COLLEGE,WAISDHAN,SINGRAULI"
3586,C31883,"Govt.Education College, Rewa",C31883,"GOVT.EDUCATION COLLEGE,REWA"
3587,C31885,Govt. College Sihawal,C31885,"GOVT.COLLEGE SIHAWAL, SIDHI"
