computer application,COMPUTER APPLICATOINS,uc_d100227,c100001
computer application,COMPUTER  APPLICATIONS,uc_d100228,c100001
computer application,MCA (RC HSP),uc_d100229,c100001
computer application,comp Application,uc_d100230,c100001
computer application,Computer App.,uc_d100231,c100001
lateral entry,MCA-LATERAL ENTRY,uc_d100232,c100023
computer application,M.C.A. -Master of Computer Applications,uc_d100233,c100001
computer application,MCA (RC MKT),uc_d100234,c100001
computer,Comp,uc_d100235,c100004
computer application,MCA-2,uc_d100236,c100001
computer application,Master Computer Application,uc_d100237,c100001
computer application,full time,uc_d100238,c100001
cc and and /java/socomputer int /ne2rking/data base,CC++/JAVA/SOFT COMPUTING/ART. INT./NETWORKING/DATA BASE,uc_d100239,c100093
computer science,Comp Sc,uc_d100240,c100000
computer apl,Comp Apl,uc_d100241,c100094
computer application,Computer Applicatioin,uc_d100242,c100001
master computer,Master of Computer,uc_d100243,c100095
computer application,Computer  Application,uc_d100244,c100001
computer science,comp.sci,uc_d100245,c100000
programme,Master of Computer Application Programme,uc_d100246,c100096
computer application,Master of Business Administration,uc_d100247,c100001
overall,Overall,uc_d100248,c100097
programming,PROGRAMMING,uc_d100249,c100098
computer application entry,Computer Applications(Lateral Entry),uc_d100250,c100099
computer science and applications,Computer Science and Applications,uc_d100251,c100005
computer application,All,uc_d100252,c100001
computer,COMPUTER ,uc_d100253,c100004
computer science and applications,COMPUTER SCIENCE AND APPLICATIONS,uc_d100254,c100005
it and computer,IT and Computers,uc_d100255,c100016
master application,MASTER OF APPLICATION,uc_d100256,c100100
computer application,Master of Computer Applicatiopn,uc_d100257,c100001
computer aplication,Computer Aplication,uc_d100258,c100101
computer application,COMP APP,uc_d100259,c100001
computer application,Comp.Application,uc_d100260,c100001
computer management,Computer  management,uc_d100261,c100102
computer application,MCA LE,uc_d100262,c100001
computer application integrated,"Computer Applications- Integrated (ASAS, Mysore)",uc_d100263,c100103
computer application,DD BCA-MCA,uc_d100264,c100001
mscit,MSCIT,uc_d100265,c100104
computer application,Compter Applications,uc_d100266,c100001
computer application integrated,"Computer Applications - Integrated (ASAS, Kochi)",uc_d100267,c100103
mci,MCI,uc_d100268,c100105
computer application,BCA + MCA,uc_d100269,c100001
integrated,Integrated BCA-MCA,uc_d100270,c100106
imca,I M C A,uc_d100271,c100107
