0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
SRIMANTA  SANKARADEVA  UNIVERSITY  OF  HEALTH  SCIENCES ,  GUWAHATI,SSUHS-G,SSUHSG,SSUHS/G,srimanta  sankaradeva  university  health  sciences,srimanta  sankaradeva  university  of  health  sciences  guwahati,SSUHS  guwahati,SSUHS,srimanta  sankaradeva  university  health  sciences  guwahati,srimanta  sankaradeva  university  of  health  sciences,SSUHS  G,,,,,,,,
Mysore  University ,  Mysore,mysore  university  mysore,mysore  university,MU  mysore,MU/M,MU  M,MU-M,MU,MUM,,,,,,,,,,
Bangalore  University ,  Bangalore,BU,BUB,bangalore  university  bangalore,bangalore  university,BU-B,BU  B,BU  bangalore,BU/B,,,,,,,,,,
T.M.  Bhagalpur  University ,  Bhagalpur,TM/B,TMB,TM-B,TBU/B,TBU  B,TM  bhagalpur,TBU,TM  B,TM  university,TBU-B,TBU  bhagalpur,TM,TM  university  bhagalpur,TBUB,t.m.  bhagalpur  university  bhagalpur,t.m.  bhagalpur  university,,
Davangere  University ,  Davangere,davangere  university  davangere,DU  D,DUD,DU-D,DU,davangere  university,DU/D,DU  davangere,,,,,,,,,,
Kuvempu  University ,  Shankaraghatta ,  Shimoga,KU  S,KU-S,KU  shankaraghatta ,  shimoga,KU,KU/S,KUS,kuvempu  university,kuvempu  university  shankaraghatta ,  shimoga,,,,,,,,,,
Veer  Narmad  South  Gujarat  University ,  Surat,VNSGU-S,VNSGU/S,VNSGU  S,VNSGUS,VNSGU,veer  narmad  south  gujarat  university,veer  narmad  south  gujarat  university  surat,VNSGU  surat,,,,,,,,,,
Jawaharlal  Nehru  Technological  University ,  Kakinada,JNTU  kakinada,JNTU,JNTUK,JNTU-K,jawaharlal  nehru  technological  university  kakinada,jawaharlal  nehru  technological  university,JNTU  K,JNTU/K,,,,,,,,,,
Ahmedabad  University,ahmedabad  university,AU,,,,,,,,,,,,,,,,
Rashtrasant  Tukadoji  Maharaj  Nagpur  University ,  Nagpur,RTMNU  N,RTMNU-N,RTMNU  nagpur,rashtrasant  tukadoji  maharaj  nagpur  university  nagpur,RTMNUN,RTMNU/N,RTMNU,rashtrasant  tukadoji  maharaj  nagpur  university,,,,,,,,,,
GONDWANA  UNIVERSITY ,  GADCHIROLI,GU,GU  G,GUG,GU  gadchiroli,GU-G,gondwana  university,gondwana  university  gadchiroli,GU/G,,,,,,,,,,
Vidya  Sagar  University ,  Midnapore,VSU,VSU  M,vidya  sagar  university  midnapore,VSU/M,VSUM,VSU  midnapore,VSU-M,vidya  sagar  university,,,,,,,,,,
Dr.  Harisingh  Gaur    Vishwavidyalaya ,  Sagar,DHGV/S,DHGV,dr.  harisingh  gaur  vishwavidyalaya,DHGV  S,dr.  harisingh  gaur  vishwavidyalaya  sagar,DHGV  sagar,DHGVS,dr.  harisingh  gaur    vishwavidyalaya,DHGV-S,dr.  harisingh  gaur    vishwavidyalaya  sagar,,,,,,,,
MAHARAJA  CHHATRASAL  BUNDELKHAND  UNIVERSITY,MCBU,maharaja  chhatrasal  bundelkhand  university,,,,,,,,,,,,,,,,
Deenbandhu  Chhotu  Ram  University  of  Science  &  Technology ,  Murthal(Sonepat),DCRUSTM,deenbandhu  chhotu  ram  university  of  science  &  technology,DCRUST/M,DCRUST,DCRUST  M,deenbandhu  chhotu  ram  university  of  science  &  technology  murthal,deenbandhu  chhotu  ram  university  science  technology  murthal,deenbandhu  chhotu  ram  university  science  technology,DCRUST  murthal,DCRUST-M,,,,,,,,
NITTE  Unversity ,  Mangalore,NU/M,NU  mangalore,nitte  unversity,NU,nitte  unversity  mangalore,NU-M,NU  M,NUM,,,,,,,,,,
Hemchandracharya  North  Gujart  University ,  Patan,HNGU  P,HNGU,HNGU  patan,hemchandracharya  north  gujart  university  patan,HNGUP,HNGU-P,HNGU/P,hemchandracharya  north  gujart  university,,,,,,,,,,
SYMBIOSIS  International  University ,  Pune,SIU  P,symbiosis  international  university,SIU-P,SIU,SIU  pune,SIUP,SIU/P,symbiosis  international  university  pune,,,,,,,,,,
Kota  University ,  Kota,kota  university,KU-K,KU  K,KU,KUK,kota  university  kota,KU  kota,KU/K,,,,,,,,,,
Jai  Prakash  Vishwavidyalaya ,  Chapra,JPVC,JPV/C,JPV  chapra,JPV-C,JPV  C,JPV,jai  prakash  vishwavidyalaya  chapra,jai  prakash  vishwavidyalaya,,,,,,,,,,
Jawaharlal  Nehru  Technological  University ,  Hyderabad,JNTU  hyderabad,JNTU-H,JNTU  H,jawaharlal  nehru  technological  university  hyderabad,JNTUH,jawaharlal  nehru  technological  university,JNTU/H,JNTU,,,,,,,,,,
Sampurnanand  Sanskrit  Vishwavidyalaya ,    Varanasi,SSV,SSVV,sampurnanand  sanskrit  vishwavidyalaya,sampurnanand  sanskrit  vishwavidyalaya    varanasi,SSV  V,SSV    varanasi,SSV/V,SSV-V,,,,,,,,,,
Banaras  Hindu  University ,  Banaras,BHU/B,BHU,BHU-B,banaras  hindu  university,banaras  hindu  university  banaras,BHU  B,BHUB,BHU  banaras,,,,,,,,,,
Uttrakhand  Technical  University ,  Dehradun,uttrakhand  technical  university,UTUD,UTU,uttrakhand  technical  university  dehradun,UTU/D,UTU  D,UTU  dehradun,UTU-D,,,,,,,,,,
Fakir  Mohan  University ,  Balasore,fakir  mohan  university,FMU-B,FMUB,FMU,FMU  B,FMU/B,FMU  balasore,fakir  mohan  university  balasore,,,,,,,,,,
University  of  Kashmir ,  Srinagar,UK  srinagar,UK-S,university  kashmir,UK/S,UK,university  of  kashmir  srinagar,university  of  kashmir,university  kashmir  srinagar,UK  S,UKS,,,,,,,,
Satavahana  University ,  Karimnagar,SU/K,SU  K,SU-K,SU  karimnagar,satavahana  university  karimnagar,SU,satavahana  university,SUK,,,,,,,,,,
Gulbarga  University ,  Gulbarga,GU,GU  G,GUG,gulbarga  university  gulbarga,GU-G,gulbarga  university,GU  gulbarga,GU/G,,,,,,,,,,
DURG  UNIVERSITY,DU,durg  university,,,,,,,,,,,,,,,,
Pt.  Ravishankar  Shukla  University ,  Raipur,PRSUR,PRSU,PRSU/R,pt.  ravishankar  shukla  university  raipur,pt.  ravishankar  shukla  university,PRSU  R,PRSU  raipur,PRSU-R,,,,,,,,,,
Ayush  and  Health  Science  University  of  Chattisgarh ,  Raipur,AHSUC  raipur,AHSUC-R,ayush  health  science  university  chattisgarh  raipur,AHSUC/R,AHSUCR,ayush  and  health  science  university  of  chattisgarh  raipur,ayush  health  science  university  chattisgarh,AHSUC  R,AHSUC,ayush  and  health  science  university  of  chattisgarh,,,,,,,,
Kumaun  University ,  Nainital,KU,kumaun  university,KU-N,KU/N,kumaun  university  nainital,KU  nainital,KUN,KU  N,,,,,,,,,,
Palamuru  University ,    Mahabubnagar,PU  M,PUM,PU/M,palamuru  university    mahabubnagar,PU,PU    mahabubnagar,PU-M,palamuru  university,,,,,,,,,,
Sri  Venkateswara  Veterinary  University ,  Tirupathi,SVVUT,sri  venkateswara  veterinary  university,sri  venkateswara  veterinary  university  tirupathi,SVVU  tirupathi,SVVU-T,SVVU/T,SVVU,SVVU  T,,,,,,,,,,
Dr  Y  S  R  Horticulture  University,dr  y  s  r  horticulture  university,DYSRHU,,,,,,,,,,,,,,,,
Punjabi  University ,  Patiala,PU  P,PU  patiala,punjabi  university,PUP,PU/P,PU-P,PU,punjabi  university  patiala,,,,,,,,,,
BILASPUR  VISHWAVIDYALAYA,bilaspur  vishwavidyalaya,BV,,,,,,,,,,,,,,,,
Ch.  Devi  Lal  University ,  Sirsa,CDLU-S,CDLU/S,CDLU  S,ch.  devi  lal  university,CDLUS,CDLU  sirsa,ch.  devi  lal  university  sirsa,CDLU,,,,,,,,,,
Jain  Vishva  Bharati  Institute ,  Nagaur,JVBI  nagaur,jain  vishva  bharati  institute  nagaur,JVBIN,JVBI-N,jain  vishva  bharati  institute,JVBI  N,JVBI,JVBI/N,,,,,,,,,,
Bundelkhand  University ,    Jhansi,BU  J,BU,bundelkhand  university    jhansi,BU/J,bundelkhand  university,BU    jhansi,BU-J,BUJ,,,,,,,,,,
Aligarh  Muslim  University ,  Aligarh,AMU  aligarh,aligarh  muslim  university  aligarh,AMU-A,AMU/A,AMU  A,AMUA,AMU,aligarh  muslim  university,,,,,,,,,,
University  of  Jammu ,  Jammu  Tawi,university  jammu  jammu  tawi,UJ,university  of  jammu  jammu  tawi,UJ  J,UJJ,university  jammu,UJ-J,UJ/J,university  of  jammu,UJ  jammu  tawi,,,,,,,,
Krishna  Institute  of  Medical  Sciences  Deemed  University ,  Karad,KIMSDU/K,krishna  institute  of  medical  sciences  deemed  university,KIMSDU  karad,KIMSDUK,krishna  institute  of  medical  sciences  deemed  university  karad,KIMSDU,krishna  institute  medical  sciences  deemed  university,KIMSDU-K,krishna  institute  medical  sciences  deemed  university  karad,KIMSDU  K,,,,,,,,
Utkal  University  of  Culture ,  Bhubaneswar,utkal  university  culture,utkal  university  of  culture,UUC-B,utkal  university  of  culture  bhubaneswar,UUCB,UUC/B,UUC  bhubaneswar,UUC  B,utkal  university  culture  bhubaneswar,UUC,,,,,,,,
Andhra  University ,  Visakhapatnam,AU  V,AU/V,AUV,AU  visakhapatnam,AU-V,andhra  university  visakhapatnam,andhra  university,AU,,,,,,,,,,
Adikavi  Nannaya  University ,  Rajahmundry ,  East  Godawari,adikavi  nannaya  university  rajahmundry ,  east  godawari,adikavi  nannaya  university,ANU/E,ANU  rajahmundry ,  east  godawari,ANU,ANU  E,ANU-E,ANUE,,,,,,,,,,
K.L.E.  Academy  of  Higher  Education  and  Research ,  Belgaum,KAHER,k.l.e.  academy  higher  education  research,KLE  B,KLE,KAHER-B,KLE-B,KAHER  belgaum,KLE/B,KAHERB,KAHER  B,KLEB,KLE  belgaum,k.l.e.  academy  higher  education  research  belgaum,k.l.e.  academy  of  higher  education  and  research,k.l.e.  academy  of  higher  education  and  research  belgaum,KAHER/B,,
Rajasthan  University  of  Veterinary  and  Animal  Sciences ,  Bikaner,rajasthan  university  of  veterinary  and  animal  sciences  bikaner,rajasthan  university  veterinary  animal  sciences,rajasthan  university  veterinary  animal  sciences  bikaner,RUVAS,RUVAS-B,RUVAS  B,rajasthan  university  of  veterinary  and  animal  sciences,RUVAS  bikaner,RUVASB,RUVAS/B,,,,,,,,
