,dist_id,district
522,dis_1522,Karimnagar
523,dis_1523,Medak
524,dis_1524,Hyderabad
525,dis_1525,Rangareddy
526,dis_1526,Mahbubnagar
527,dis_1527,Nalgonda
528,dis_1528,Warangal (Rural)
529,dis_1529,Khammam
530,dis_1530,Srikakulam
531,dis_1531,Vizianagaram
532,dis_1532,Visakhapatnam
533,dis_1533,East Godavari
534,dis_1534,West Godavari
535,dis_1535,Krishna
536,dis_1536,Guntur
537,dis_1537,Prakasam
538,dis_1538,Sri Potti Sriramulu Nellore
539,dis_1539,Y.S.R.
540,dis_1540,Kurnool
541,dis_1541,Anantapur
542,dis_1542,Chittoor
543,dis_1543,Belgaum
544,dis_1544,Bagalkot
545,dis_1545,Bidar
546,dis_1546,Raichur
547,dis_1547,Koppal
548,dis_1548,Gadag
549,dis_1549,Dharwad
550,dis_1550,Uttara Kannada
551,dis_1551,Haveri
552,dis_1552,Bellary
553,dis_1553,Chitradurga
554,dis_1554,Davanagere
555,dis_1555,Shimoga
556,dis_1556,Udupi
557,dis_1557,Chikmagalur
558,dis_1558,Tumkur
559,dis_1559,Bangalore
560,dis_1560,Mandya
561,dis_1561,Hassan
562,dis_1562,Dakshina Kannada
563,dis_1563,Kodagu
564,dis_1564,Mysore
565,dis_1565,Chamarajanagar
566,dis_1566,Gulbarga
567,dis_1567,Yadgir
568,dis_1568,Kolar
569,dis_1569,Chikkaballapura
570,dis_1570,Bangalore Rural
571,dis_1571,Ramanagara
572,dis_1572,North Goa
573,dis_1573,South Goa
574,dis_1574,Lakshadweep
575,dis_1575,Kasaragod
576,dis_1576,Kannur
577,dis_1577,Wayanad
578,dis_1578,Kozhikode
579,dis_1579,Malappuram
580,dis_1580,Palakkad
581,dis_1581,Thrissur
582,dis_1582,Ernakulam
583,dis_1583,Idukki
584,dis_1584,Kottayam
585,dis_1585,Alappuzha
586,dis_1586,Pathanamthitta
587,dis_1587,Kollam
588,dis_1588,Thiruvananthapuram
589,dis_1589,Thiruvallur
590,dis_1590,Chennai
591,dis_1591,Kancheepuram
592,dis_1592,Vellore
593,dis_1593,Tiruvannamalai
594,dis_1594,Viluppuram
595,dis_1595,Salem
596,dis_1596,Namakkal
597,dis_1597,Erode
