,university_id,university
200,UV200,"Aryabhatta Knoweledge University , Patna"
201,UV201,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga"
202,UV202,"Dr Rajendra Prasad Central Agricultural University, Samastipur"
203,UV203,"Maulana Mazharul Haque Arabic & Persian University, Patna"
204,UV204,"Lalit Narayan Mithila University, Darbhanga"
205,UV205,"Jai Prakash Vishwavidyalaya, Chapra"
206,UV206,"Bihar Agriculture University, Sabour"
207,UV207,"T.M. Bhagalpur University, Bhagalpur"
208,UV208,"Veer Kunwar Singh University, Arrah"
209,UV209,"Tamil Nadu Teacher Education University, Chennai"
210,UV210,"Anna University, Chennai"
211,UV211,"Thiruvalluvar Univeristy, Vellore"
212,UV212,"Manonmaniam Sundaranar University, Tirunelveli"
213,UV213,"Madras University, Chennai"
214,UV214,"Tamil Nadu Dr. M.G.R. Medical University , Chennai"
215,UV215,"Chettinad Academy of Research & Education, Kancheepuram"
216,UV216,"Tamilnadu Physical Education and Sports University, Chennai"
217,UV217,"Periyar University, Salem"
218,UV218,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM"
219,UV219,3
220,UV220,"Tamilnadu Veterinary & Animal Sciences University, Chennai"
221,UV221,"Saveetha University, Chennai"
222,UV222,"Vellore Institute of Technology, Vellore"
223,UV223,"Bharathidasan University, Tiruchirappalli"
224,UV224,"Madurai Kamraj University, Madurai"
225,UV225,"Mother Teresa Women's University, Kodaikanal"
226,UV226,"Tamilnadu Agricultural University, Coimbatore"
227,UV227,"Alagappa University, Alagappa Nagar, Karaikudi"
228,UV228,TAMIL NADU FISHERIES UNIVERSITY
229,UV229,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur"
230,UV230,"Sri Balajai Vidyapeeth Mahatma Gandhi Medical College, Puducherry"
231,UV231,"Rajiv Gandhi University, Itanagar"
232,UV232,Nagaland University
233,UV233,"Gauhati University, Guwahati"
234,UV234,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI"
235,UV235,"Dibrugarh University, Dibrugarh"
236,UV236,"Lakshmibai National Institute of Physical Education, Gwalior"
237,UV237,"Assam Agricultural University, Jorhat"
238,UV238,"Assam University, Silchar"
239,UV239,ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY
240,UV240,"Jawaharlal Nehru Technological University, Kakinada"
241,UV241,"Adikavi Nannaya University, Rajahmundry, East Godawari"
242,UV242,"Andhra University, Visakhapatnam"
243,UV243,"Vikram Simhapuri University, Nellore"
244,UV244,"Dr.B.R.Ambedkar University, Etcherla"
245,UV245,"Krishna University, Machhlipattanam"
246,UV246,"Rayalaseema, University Kurnool"
247,UV247,"Yogi Vemana University, Kadapa"
248,UV248,"Jawaharlal Nehru Technological University, Anantapur"
249,UV249,"Acharya Nagarjuna University, Guntur"
250,UV250,"Sri Venkateswara University, Tirupathy"
251,UV251,"Sri Krishnadevaraya University, Anantapur"
252,UV252,"Sri Venkateswara Institute of Medical Sciences, Tirupathi"
253,UV253,"Sri Venkateswara Veterinary University, Tirupathi"
254,UV254,"Acharya NG Ranga Agricultural University, Guntur"
255,UV255,Dr Y S R Horticulture University
256,UV256,"Raja Mansingh  Tomar Music & Arts University, Gwalior"
257,UV257,"Barkatullah University, Bhopal"
258,UV258,"Vikram University, Ujjain"
259,UV259,"Awadesh Pratap Singh University, Rewa"
260,UV260,"Devi Ahilya Vishwavidyalaya, Indore"
261,UV261,"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar"
262,UV262,MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY
263,UV263,"Maharishi Panini Sanskrit Vishwavidyalaya, Ujjain"
264,UV264,"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur"
265,UV265,"A.P. University of Law, Vishakhapatnam"
266,UV266,"Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya, Gwalior"
267,UV267,"University of Kashmir, Srinagar"
268,UV268,"University of Jammu, Jammu Tawi"
269,UV269,"Sher-e-Kashmir University of Agricultural Science & Technology of Kashmir, Srinagar"
270,UV270,"Shri Mata Vaishno Devi University, Jammu"
271,UV271,"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur"
272,UV272,"Maharaja Ganga Singh University, Bikaner"
273,UV273,PANDIT DEENDAYAL UPADHYAYA SHEKHAWATI UNIVERSITY
274,UV274,"Kota University, Kota"
275,UV275,"Jai Narain Vyas University, Jodhpur"
276,UV276,"Rajasthan Agricultural University, Bikaner"
277,UV277,"Maharishi Dayanand Saraswati University, Ajmer"
278,UV278,"Mohan Lal Sukhadia University, Uaipur"
279,UV279,"Rajasthan University of Veterinary and Animal Sciences, Bikaner"
280,UV280,"Rajasthan University of Health Sciences, Jaipur"
281,UV281,"Homoeopathy University, Jaipur"
282,UV282,"Jain Vishva Bharati Institute, Nagaur"
283,UV283,RAJ RISHI BHARTRIHARI MATSYA UNIVERSITY
284,UV284,MAHARAJA SURAJMAL BRIJ UNIVERSITY
285,UV285,"Institute of Advanced Studies in Education, Churu"
286,UV286,"Vinoba Bhave University, Hazaribagh"
287,UV287,"Sido Kanhu Murmu University, Dumka"
288,UV288,"Ranchi University, Ranchi"
289,UV289,"Kolhan University,  West Singhbhum"
290,UV290,"Nilamber-Pitamber University, Palamu"
291,UV291,"Manipur University, Imphal"
292,UV292,DELHI PHARMACEUTICAL SCIENCES AND RESEARCH UNIVERSITY
293,UV293,"Pondicherry Univeristy, Puducherry"
294,UV294,"Sikkim  University, Gangtok"
295,UV295,"Central Agricultural University, Imphal"
296,UV296,"Vinayaka Missions Sikkim University, Tadong"
297,UV297,"Sikkim Manipal University, Gangtok"
298,UV298,"Mizoram University, Aizwal"
299,UV299,"Goa University, Goa"
300,UV300,"Tripura University, Agartala"
