"""B.Sc.[Post Basic]-B.Sc [Post Basic]""","""B.Sc.[Post Basic]-B.Sc [Post Basic]""","""B.Sc.[Post Basic]""","""B.Sc [Post Basic]""","""BSc[Post Basic]"""
"""Visharad-Visharad""","""Visharad-Visharad""","""Visharad""","""Visharad""","""Visharad"""
"""G.N.M.-General Nursing & Midwifery""","""G.N.M.-General Nursing & Midwifery""","""G.N.M.""","""General Nursing & Midwifery""","""GNM"""
"""Ayurvedacharya-Ayurvedacharya""","""Ayurvedacharya-Ayurvedacharya""","""Ayurvedacharya""","""Ayurvedacharya""","""Ayurvedacharya"""
"""Integrated M.Sc.-Integrated Master of Science""","""Integrated M.Sc.-Integrated Master of Science""","""Integrated M.Sc.""","""Integrated Master of Science""","""Integrated MSc"""
"""M.F.Tech.-Master of Fashion Technology""","""M.F.Tech.-Master of Fashion Technology""","""M.F.Tech.""","""Master of Fashion Technology""","""MFTech"""
"""B.A.M.S.-Bachelor of Ayurved Medicine & Surgery""","""B.A.M.S.-Bachelor of Ayurved Medicine & Surgery""","""B.A.M.S.""","""Bachelor of Ayurved Medicine & Surgery""","""BAMS"""
"""B.B.M.-Bachelor of Business Management""","""B.B.M.-Bachelor of Business Management""","""B.B.M.""","""Bachelor of Business Management""","""BBM"""
"""M.B.A.[Tech.]-Master of Business Administration in Technology""","""M.B.A.[Tech.]-Master of Business Administration in Technology""","""M.B.A.[Tech.]""","""Master of Business Administration in Technology""","""MBA[Tech]"""
"""M.Lib.Sc. -Master of Library Science""","""M.Lib.Sc. -Master of Library Science""","""M.Lib.Sc. ""","""Master of Library Science""","""MLibSc """
"""M.F.A. -Master of Fine Arts""","""M.F.A. -Master of Fine Arts""","""M.F.A. ""","""Master of Fine Arts""","""MFA """
"""M.L.I.Sc.-Master of Library & Information Science""","""M.L.I.Sc.-Master of Library & Information Science""","""M.L.I.Sc.""","""Master of Library & Information Science""","""MLISc"""
"""M.Sc.[Medical Microbiology]-Master of Science in Medical Microbiology""","""M.Sc.[Medical Microbiology]-Master of Science in Medical Microbiology""","""M.Sc.[Medical Microbiology]""","""Master of Science in Medical Microbiology""","""MSc[Medical Microbiology]"""
"""M.Des.-Master of Design""","""M.Des.-Master of Design""","""M.Des.""","""Master of Design""","""MDes"""
"""B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws""","""B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws""","""B.B.A. L.L.B.""","""Bachelor of Business Administration, Bachelor of Law or Laws""","""BBA LLB"""
"""M.Optom. -Master of Optometry""","""M.Optom. -Master of Optometry""","""M.Optom. ""","""Master of Optometry""","""MOptom """
"""M.Sc.[Medical Physiology]-Master of Science in Medical Physiology""","""M.Sc.[Medical Physiology]-Master of Science in Medical Physiology""","""M.Sc.[Medical Physiology]""","""Master of Science in Medical Physiology""","""MSc[Medical Physiology]"""
