"""kurundwad""","""kurundwad"""
"""dist satara""","""dist satara"""
"""distsatara""","""distsatara"""
"""kadegaon""","""kadegaon"""
"""miraj""","""miraj"""
"""panchgani""","""panchgani"""
"""mahesana""","""mahesana"""
"""murgud""","""murgud"""
"""nesari""","""nesari"""
"""walwa""","""walwa"""
"""kasegaon""","""kasegaon"""
"""sarud""","""sarud"""
"""kundal""","""kundal"""
"""ranghavav porbandar""","""ranghavav porbandar"""
"""palus""","""palus"""
"""mhaisal""","""mhaisal"""
"""peth naka  tal walwa""","""peth naka  tal walwa"""
"""jetalpur""","""jetalpur"""
"""dist  satara""","""dist  satara"""
"""jaysingpur""","""jaysingpur"""
"""peth vadgaon""","""peth vadgaon"""
"""idar""","""idar"""
"""ashta""","""ashta"""
"""tasgaon""","""tasgaon"""
"""gandhinagar""","""gandhinagar"""
"""navsari""","""navsari"""
"""arjunnagar""","""arjunnagar"""
"""yadrav""","""yadrav"""
"""koregaon""","""koregaon"""
"""dwarka""","""dwarka"""
"""kowad""","""kowad"""
"""talmavale""","""talmavale"""
"""medha""","""medha"""
"""gargoti""","""gargoti"""
"""ahmedabad""","""ahmedabad"""
"""aundh""","""aundh"""
"""khatav""","""khatav"""
"""shirala""","""shirala"""
"""bhilawadi""","""bhilawadi"""
"""deur""","""deur"""
"""uttur""","""uttur"""
"""radhanagari""","""radhanagari"""
"""talsande""","""talsande"""
"""kirloskarwadi""","""kirloskarwadi"""
"""atigre""","""atigre"""
"""undale""","""undale"""
"""rahimatpur""","""rahimatpur"""
"""vadodara""","""vadodara"""
"""vaduj""","""vaduj"""
"""lonand""","""lonand"""
"""jath""","""jath"""
"""hector  r     r""","""hector  r     r"""
"""dahiwadi""","""dahiwadi"""
"""budhgaon""","""budhgaon"""
"""pethapur gandhinagar""","""pethapur gandhinagar"""
"""mhaswad""","""mhaswad"""
"""shivnagar""","""shivnagar"""
"""kayavarohan""","""kayavarohan"""
"""nagthane""","""nagthane"""
"""wai distsatara""","""wai distsatara"""
"""dakor""","""dakor"""
"""malwadikotoli""","""malwadikotoli"""
"""tal tasgaon""","""tal tasgaon"""
"""indoli""","""indoli"""
"""pachwad""","""pachwad"""
"""umbraj""","""umbraj"""
"""pethvadgaon""","""pethvadgaon"""
"""chikhali""","""chikhali"""
"""peth naka""","""peth naka"""
"""nadiad""","""nadiad"""
"""solankur""","""solankur"""
"""petlad""","""petlad"""
"""paonta sahib""","""paonta sahib"""
"""sunder nagar""","""sunder nagar"""
"""shimla""","""shimla"""
"""sundernagar""","""sundernagar"""
"""joginder nagar""","""joginder nagar"""
"""disthamirpur""","""disthamirpur"""
"""indora""","""indora"""
"""sarkaghat""","""sarkaghat"""
"""theog""","""theog"""
"""chowari""","""chowari"""
"""rajgarh""","""rajgarh"""
"""nurpur""","""nurpur"""
"""hamirpur""","""hamirpur"""
"""kalaamb""","""kalaamb"""
"""palampur""","""palampur"""
"""mandi""","""mandi"""
"""nerchowk""","""nerchowk"""
"""solan""","""solan"""
"""dehra""","""dehra"""
"""baddi""","""baddi"""
"""ambaji""","""ambaji"""
"""karsog""","""karsog"""
"""rampur bushahr""","""rampur bushahr"""
"""distt shimla""","""distt shimla"""
"""shillai""","""shillai"""
"""ner chowk""","""ner chowk"""
"""gohar""","""gohar"""
"""vapi""","""vapi"""
"""bhunter""","""bhunter"""
"""kullu""","""kullu"""
"""ghumarwin""","""ghumarwin"""
"""kinnaur""","""kinnaur"""
"""banjar""","""banjar"""
"""nalagargh""","""nalagargh"""
"""barsar""","""barsar"""
"""sujanpur tihra""","""sujanpur tihra"""
"""amb""","""amb"""
"""bharuch""","""bharuch"""
"""nadaun""","""nadaun"""
"""padhar""","""padhar"""
"""paontasahib""","""paontasahib"""
"""jawala ji""","""jawala ji"""
"""nerwa""","""nerwa"""
"""dharamshala""","""dharamshala"""
"""kadi""","""kadi"""
"""harnora""","""harnora"""
"""jhandutta""","""jhandutta"""
"""arki""","""arki"""
"""dehri""","""dehri"""
"""jwalamukhi""","""jwalamukhi"""
"""kangra""","""kangra"""
"""chamunda dham""","""chamunda dham"""
"""dalhousie""","""dalhousie"""
"""sri naina devi ji""","""sri naina devi ji"""
"""killar""","""killar"""
"""nahan""","""nahan"""
"""thural""","""thural"""
"""kasauli""","""kasauli"""
"""swarghat""","""swarghat"""
"""bhuntar""","""bhuntar"""
"""nagrota bagwan""","""nagrota bagwan"""
"""rohru""","""rohru"""
"""dhaliara""","""dhaliara"""
"""ahemdabad""","""ahemdabad"""
"""chamba""","""chamba"""
"""chailchowk""","""chailchowk"""
"""mehre""","""mehre"""
"""sangrah""","""sangrah"""
"""siddhpur""","""siddhpur"""
"""kumarhatti""","""kumarhatti"""
"""bharmour""","""bharmour"""
"""paprola""","""paprola"""
"""chintpurni""","""chintpurni"""
"""borsad""","""borsad"""
"""shahpur""","""shahpur"""
"""chakmoh""","""chakmoh"""
"""village ajouli""","""village ajouli"""
"""salooni""","""salooni"""
"""jaisinghpur""","""jaisinghpur"""
"""boriavi""","""boriavi"""
"""subathu""","""subathu"""
"""baijnath""","""baijnath"""
"""nalagarh""","""nalagarh"""
"""bhaba nagar""","""bhaba nagar"""
"""kala amb""","""kala amb"""
"""teh sadar""","""teh sadar"""
"""beetan""","""beetan"""
"""dharmaj""","""dharmaj"""
"""sunni""","""sunni"""
"""jawali""","""jawali"""
"""daulatpur chowk""","""daulatpur chowk"""
"""bangana""","""bangana"""
"""udaipur""","""udaipur"""
"""hmairpur""","""hmairpur"""
"""sawra""","""sawra"""
"""vallabh vidyanagar""","""vallabh vidyanagar"""
"""district anand""","""district anand"""
"""ernakulam""","""ernakulam"""
"""mallappally""","""mallappally"""
"""kochi""","""kochi"""
"""vaikom""","""vaikom"""
"""kottayam""","""kottayam"""
"""pampady""","""pampady"""
