C21433,"Govt. Degree College Boys Sopore,Kashmir",1,Baramula,dis_1007
C46005,"MOTHER TERESA MEMORIAL COLLEGE OF EDUCATION, TANGMARG",0,Baramula,dis_1007
C45968,"KASHMIR COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
ST12842,"DISTRICT INSTITUTE OF EDUCATION & TRAINING, BARAMULLA",0,Baramula,dis_1007
C21443,"Govt. Degree College Pattan, Kashmir",0,Baramula,dis_1007
C35390,"Govt.  Degree College for Women Sopore, Kashmir",0,Baramula,dis_1007
C45991,"UNIQUE COLLEGE OF EDUCATION, MIRGUND BARAMULLAH",0,Baramula,dis_1007
C21409,"Govt. Degree College Boys Baramullah, Kashmir",1,Baramula,dis_1007
C45990,"SANCTORIUM COLLEGE OF EDUCATION, LALAD BARAMULLAH",1,Baramula,dis_1007
C54640,Faculty of Agriculture,1,Baramula,dis_1007
C50492,PIONEER COLLEGE OF EDUCATION,0,Baramula,dis_1007
C45967,"JEHLUM EDUCATION TRUST, BARAMULLAH",0,Baramula,dis_1007
C45964,"GREEN VALLEY COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C45962,"BABA PAYAM-UDDIN COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C48524,"GOVERNMENT DEGREE COLLEGE, HADI PORA, BARAMULLA",0,Baramula,dis_1007
C48526,"GOVERNMENT DEGREE COLLEGE, TANGMARG",0,Baramula,dis_1007
C45961,"APEX COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C46540,SOPORE LAW COLLEGE,0,Baramula,dis_1007
C45971,"QUALITY COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C45972,"RAMZAN MEMORIAL COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C48525,"GOVERNMENT DEGREE COLLEGE, MAGAM, TANGMARG",0,Baramula,dis_1007
C45973,"SUBHAN INSTITUTE OF EDUCATIONAL TENCHNOLOGY, BARAMULLAH",0,Baramula,dis_1007
C21437,"Govt. Degree College Gurez, Kashmir",0,Bandipore,dis_1008
C45957,"SHEIKH HUMZA COLLEGE OF EDUCATION, BANDIPORE",1,Bandipore,dis_1008
C21450,"Govt. Degree College Bandipora, Kashmir",0,Bandipore,dis_1008
C50912,"Government Degree College, Sumbal, Sonawari, ",0,Bandipore,dis_1008
C46527,KASHMIR TIBBIA COLLEGE,0,Bandipore,dis_1008
C45958,"WULAR VALLEY COLLEGE OF EDUCATION, BANDIPORE",0,Bandipore,dis_1008
C46009,"RIZWAN MEMORIAL COLLEGE OF EDUCATION, BANDIPORA",0,Bandipore,dis_1008
ST15115,Govt. Polytechnic College Bandipora,0,Bandipore,dis_1008
ST12848,"DISTRICT INSTITUTE OF EDUCATION & TRAINING, BANDIPORA",0,Bandipore,dis_1008
C45956,"SHAHEEN COLLEGE OF EDUCATION, BANDIPORE",0,Bandipore,dis_1008
C45953,"AL-NOOR COLLEGE OF EDUCATION, BANDIPORE",0,Bandipore,dis_1008
C46521,"JAMMIA MADINATUL-ALOOM, HAZRATBAL",0,Srinagar,dis_1009
C21407,"Islamia College of Science & Commerce, Srinagar",1,Srinagar,dis_1009
C46526,INSTITUTE OF ASIAN MEDICAL SCIENCE AND UNANI,1,Srinagar,dis_1009
U193,"Central University of Kashmir, Srinagar",5,Srinagar,dis_1009
C21457,"Govt.  College  of Education, Srinagar",1,Srinagar,dis_1009
C46003,"KOUSAR COLLEGE OF EDUCATION, SRINAGAR",1,Srinagar,dis_1009
C46001,"S M IQBAL COLLEGE OF EDUCATION, SRINAGAR",0,Srinagar,dis_1009
C46523,"GOVERNMENT DEGREE COLLEGE, BAGHI-DILAWAW KHAN",0,Srinagar,dis_1009
U198,"Sher-e-Kashmir Institute of Medical Sciences, Srinagar",5,Srinagar,dis_1009
C46006,"NUND RESHI COLLEGE OF EDUCATION, SRINAGAR",0,Srinagar,dis_1009
C46008,"RAMZAN COLLEGE OF EDUCATION, SRINAGAR",0,Srinagar,dis_1009
C46520,"Islamia Oriental College, Rajouri Kadal, ",0,Srinagar,dis_1009
C21404,"Govt. Degree  College Bemina, Srinagar",1,Srinagar,dis_1009
C21436,"Vishwa Bharti  Womens College, Srinagar",0,Srinagar,dis_1009
C47452,"COMPOSITE REGIONAL CENTRE, MINISTRY OF SOCIAL JUSTICE EMPOWERMENT, BEMINA",0,Srinagar,dis_1009
C46531,GREEN LAND BUSINESS SCHOOL,1,Srinagar,dis_1009
