,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
51,51,"BRM Government Law College, Guwahati",Guwahati,Assam,BA LLB Integrated,5 years,Full time,60.0,UG,0.3 lakhs,(BCI) Bar Council of India,"Candidates who has successfully completed Senior Secondary School (+2) course or equivalent from a recognised University of India or outside or from a Senior Secondary Board or equivalent, constituted or recognised by the Union or by the State Government from a foreign country recognised by the Government of that country with atleast 45 % ( 40% for SC,ST and OBC applicants) in aggregate may apply for and be admitted into the program to obtain the integrated degree in law with BA as the first degree.",BA LLB Integrated is five years full-time course affiliated to Gauhati University and approved by BCI.
52,52,"BRM Government Law College, Guwahati",Guwahati,Assam,LLB,3 years,Full time,120.0,UG,0.34 lakhs,(BCI) Bar Council of India,"Candidates who has graduated in any discipline of knowledge from a University established by an Act of Parliament or by a State Legislature or an equivalent national institution recognised as a Deemed to be University or foreign university recognised as equivalent to the status of an Indian University by an authority competent to declare equivalence, with atleast 45% ( 40% for SC,ST and OBC applicants), may apply for a three year degree program in law leading to conferment of LL.B. degree on successful completion of regular program.",Bachelor of Laws ( LLB ) is a full time three years course affiliated to Gauhati University and approved by BCI.
53,53,"BRM Government Law College, Guwahati",Guwahati,Assam,LLM,2 years,Full time,20.0,PG,0.24 lakhs,(BCI) Bar Council of India,"Candidates who has a degree in law from a University established by an Act of Parliament or by a State Legislature or an equivalent National Institution recognised as a Deemed to be University or foreign university recognised as equivalent to the status of an Indian University by an authority competent to declare equivalence, with atleast 50% (45% for SC,ST and OBC applicants), may apply for a two years master degree program in law leading to conferment of LL.M. degree on successful completion of regular program.",Master of Laws ( LLM ) is a full time two years course affiliated to Gauhati University and approved by BCI.
54,54,"Kolkata Police Law Institute, Kolkata",Kolkata,West Bengal,BA LLB Integrated,5 years,Full time,60.0,UG,,(BCI) Bar Council of India,"1. Passed 10+2 or its equivalent from the Board recognized by the University of Calcutta, Kolkata.
2. 10+2 level marks obtained from the Board recognized by the University of Calcutta, Kolkata. General : at least 45% marks in the best four subjects. (excluding Environmental studies of WBCHSE).","BA LLB Integrated is five-year duration full-time course affiliated to University of Calcutta, Kolkata and approved by Bar Council of India (BCI)."
55,55,"Kolkata Police Law Institute, Kolkata",Kolkata,West Bengal,LLB,3 years,Full time,,UG,0.825 lakhs,(BCI) Bar Council of India,Graduate from a recognized Institution/ University in relevant discipline.,"LLB is three-year duration full-time course affiliated to University of Calcutta, Kolkata and approved by Bar Council of India (BCI)."
56,56,"Government Law College, Ramanagara",Ramanagara,Karnataka,BA LLB,5 years,Full time,,UG,,(BCI) Bar Council of India,The candidate should have passed in 10+2 relevant subject for any recognized board.,"This is a full time five year course affiliated to Karnataka State Law University, Hubli and approved by Bar Council of India."
57,57,"Tezpur Law College, Tezpur",Tezpur,Assam,BA LLB Integrated,5 years,Full time,60.0,UG,1.82 lakhs,(BCI) Bar Council of India,Candidates must have passed the Higher Secondary Examination 10+2 or an equivalent examination securing in aggregate not below 45% of the total marks in case of general category applicants and 40% of the total marks in case of SC and ST applicants.,BA LLB Integrated is a full time five years course affiliated to Gauhati University and approved by Bar Council India.
58,58,"Tezpur Law College, Tezpur",Tezpur,Assam,LLB,3 years,Full time,120.0,UG,1.03 lakhs,(BCI) Bar Council of India,"As per stipulation of the Bar Council of India the minimum percentage of marks not below 45% of the total marks in case of general category applicants, and 40% of the total marks in case of SC, ST and OBC applicants, to be obtained in the qualifying examination.",Bachelor of Law is a full time three years undergraduate course affiliated to Gauhati University and approved by Bar Council India.
59,59,"Tezpur Law College, Tezpur",Tezpur,Assam,LLM,2 years,Full time,,PG,,(BCI) Bar Council of India,A candidate for admission to the LL.M. Course must have LLB / Five Year Integrated degree in Law from a recognized University with at least 50% aggregate marks (45% for SC/ST candidates).,LLM is a full time two years post graduate course affiliated to Gauhati University and approved by Bar Council India.
60,60,"Adv Ramkrishnaji Rathi Law College, Washim",Washim,Maharashtra,LLB,3 years,Full time,60.0,UG,,(BCI) Bar Council of India,"A Candidate passed the examination for the Bachelor's Degree in any of the faculties of the University or any other statutory University or Examination recognised as equivalent thereto or last higher exmination specified under the rules approved by Bar Council Of India with 45% marks in aggregate (relaxable upto 5 % in the case of students of schedule Caste and Schedules Tribes). The Maharashtra Govt. has introduced the State level entrance exam from the year 2016-17 for the admission to Law Degree. Henceforth, admission is now regulated by State Govt. CET Cell","LLB is a three year full time course affiliated by Sant Gadge Baba Amravati University, Amravati"
