,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
24,24,"RIG Institute of Hospitality and Hotel Management, Bazpur",Bazpur,Uttarakhand,Diploma in Hotel Management,1 year,Full time,,Diploma,0.186 lakhs,,12th pass / BAPP (6 Months Basic preparatory course for those students who have not Qualified 10th and are above 18 years old).,"Diploma in Hotel Management is a one year full time course affiliated to Uttarakhand Open University, Haldwani."
25,25,"RIG Institute of Hospitality and Hotel Management, Bazpur",Bazpur,Uttarakhand,Master of Hotel Management,2 years,Full time,,PG,0.274 lakhs,,"1. BHM and CT, BHM, B.Sc in Hospitality and Hotel Management/Administration,
2. Graduation with three year Diploma in Hotel Management from NCHMT or Equivalent.
3. Three years diploma in Hotel Management with a Masters degree in allied field (MTM/MHA) from a recognized institute / university.
4. 10+2 + Three Years Diploma in Hotel Management from a Govt. Instt. with five years industry/academic experience.","Master of Hotel Management is a two year full time course affiliated to Uttarakhand Open University, Haldwani."
26,26,"Trihari Institute of Management Education, New Tehri",New Tehri,Uttarakhand,BHM,3 years,Full time,,UG,0.558 lakhs,,10th / 10+2 Pass From Any Recognized Board/University In Any Subject.,"Bachelor in Hotel Management is a three year full time course affiliated to Uttarakhand Open University, Haldwani."
27,27,"Trihari Institute of Management Education, New Tehri",New Tehri,Uttarakhand,Diploma in Hotel Management,1.5 years,Full time,,Diploma,0.37 lakhs,,10th / 10+2 Pass From Any Recognized Board/University In Any Subject.,"Diploma in Hotel Management is a one and half year full time course affiliated to Uttarakhand Open University, Haldwani."
28,28,"Universal Institute of Hotel Management, Dehradun",Dehradun,Uttarakhand,BHM,3 years,Full time,,UG,0.558 lakhs,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelor of Hotel Management is a three year full time course affiliated to Uttarakhand Open University, Haldwani."
29,29,"Universal Institute of Hotel Management, Dehradun",Dehradun,Uttarakhand,BTS,3 years,Full time,,UG,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelor of Tourism Studies is a three year full time course affiliated to Uttarakhand Open University, Haldwani."
30,30,"Universal Institute of Hotel Management, Dehradun",Dehradun,Uttarakhand,Diploma in Hotel Management,1 year,Full time,,Diploma,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Diploma in Hotel Management is a one year full time course affiliated to Uttarakhand Open University, Haldwani."
31,31,"Universal Institute of Hotel Management, Dehradun",Dehradun,Uttarakhand,Diploma in Tourism Studies,1 year,Full time,,Diploma,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Diploma in Tourism Studies is a one year full time course affiliated to Uttarakhand Open University, Haldwani."
32,32,"Universal Institute of Hotel Management, Dehradun",Dehradun,Uttarakhand,Master of Hotel Management,2 years,Full time,,PG,,,"B.HM, B.sc in HM.","Master of Hotel Management is a two year full time course affiliated to Uttarakhand Open University, Haldwani."
33,33,"Universal Institute of Hotel Management, Dehradun",Dehradun,Uttarakhand,Master of Tourism Management,2 years,Full time,,PG,,,Graduation in any Stream.,"Master of Tourism Management is a two year full time course affiliated to Uttarakhand Open University, Haldwani."
34,34,"UIHMT College of Hotel Management and Tourism, Dehradun",Dehradun,Uttarakhand,BBA HM,3 years,Full time,,UG,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelor of Business Administration in Hotel Management is a three year full time course affiliated to Doon University, Dehradun."
35,35,"UIHMT College of Hotel Management and Tourism, Dehradun",Dehradun,Uttarakhand,BHM,4 years,Full time,,UG,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelor in Hotel Management is a four year full time course affiliated to Doon University, Dehradun."
36,36,"UIHMT College of Hotel Management and Tourism, Dehradun",Dehradun,Uttarakhand,Diploma in Hotel Management,1 year,Full time,,Diploma,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Diploma in Hotel Management is a one year full time course affiliated to Doon University, Dehradun."
37,37,"UIHMT College of Hotel Management and Tourism, Dehradun",Dehradun,Uttarakhand,MHM,2 years,Full time,,PG,,,The candidate should have passed in Bachelor degree in any discipline from any approved or recognized university are eligible.,"Master of Hotel Management is a two year full time course affiliated to Doon University, Dehradun."
38,38,"Government Rajeev Gandhi PG College, Mandsaur",Mandsaur,Madhya Pradesh,Diploma in Tourism,1 year,Full time,15.0,Diploma,,,The Candidate should have passed 10+2 in relevant stream or equivalent from recognized board.,Diploma in Tourism is one-year duration full-time course.
39,39,"Snehacharya Institute of Management and Technology, Alappuzha",Karuvatta,Kerala,BHMCT,4 years,Full time,60.0,UG,2.61 lakhs,NCHMCT,The candidate should have passed in 10+2 any stream with 45% marks.,"Bachelor In Hotel Management and Catering Technology is a four year full time course affiliated by University of Kerala, Thiruvananthapuram"
40,40,"Ram Institute of Hotel Management, Dehradun",Dehradun,Uttarakhand,Bachelor in Hotel Management,3 years,Full time,,UG,,,Admission to the program is done on the basis of written test comprising of objective question. Selected candidates are called for the personal interview form the basis of the merit list. Students failing to appear for the written test and interview can approach directly to the institute for direct admission,"Bachelors of Hotel Management is a study of Management of Hotel which is a three year Undergraduate Programme that combines an extensive educational curriculum with industrial training, providing graduates who are fully attuned to competitive aspects and requests of the Hospitality Industry which is a popular Academic degree all over the world"
41,41,"Aditya Degree College, Gajuwaka",Visakhapatnam,Andhra Pradesh,BHM,3 years,Full time,,UG,,,The Candidate should have passed 10+2 in relevant stream or equivalent from recognized board.,"Bachelor of Hotel Management (BHM) is three-year duration full-time course affiliated to Andhra University, Visakhapatnam."
42,42,"Kakinada Sri Aditya Degree College, Srikakulam",Srikakulam,Andhra Pradesh,BHM,3 years,Full time,,UG,,,The Candidate should have passed 10+2 in relevant stream or equivalent from recognized board.,"Bachelor of Hotel Management (BHM) is three-year duration full-time course affiliated to Andhra University, Visakhapatnam."
43,43,"Aditya Degree College Womens, Kakinada",Kakinada,Andhra Pradesh,BHM,3 years,Full time,,UG,,,The Candidate should have passed 10+2 in relevant stream or equivalent from recognized board.,"Bachelor of Hotel Management (BHM) is three-year duration full-time course affiliated to Andhra University, Visakhapatnam."
44,44,"Aditya Degree College Womens, Rajahmundry",Rajahmundry,Andhra Pradesh,BHM,3 years,Full time,,UG,,,The Candidate should have passed 10+2 in relevant stream or equivalent from recognized board.,"Bachelor of Hotel Management (BHM) is three-year duration full-time course affiliated to Andhra University, Visakhapatnam."
